"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 00:00","2014","05","01","00:00","6.3","","5.4","","95","","0.6","","11","","23","","","","101.02","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 01:00","2014","05","01","01:00","6.4","","5.4","","93","","1.2","","10","","18","","","","100.91","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 02:00","2014","05","01","02:00","6.3","","5.3","","93","","2.0","","11","","26","","","","100.74","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 03:00","2014","05","01","03:00","6.3","","5.3","","94","","1.5","","11","","25","","","","100.61","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 04:00","2014","05","01","04:00","6.4","","5.4","","93","","0.2","","11","","24","","","","100.51","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 05:00","2014","05","01","05:00","6.6","","5.5","","93","","0.6","","10","","15","","","","100.47","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 06:00","2014","05","01","06:00","6.9","","6.1","","95","","0.5","","11","","15","","","","100.41","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 07:00","2014","05","01","07:00","7.2","","6.4","","95","","0.7","","9","","11","","","","100.28","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 08:00","2014","05","01","08:00","7.9","","7.1","","95","","0.8","","13","","13","","","","100.25","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 09:00","2014","05","01","09:00","8.4","","7.6","","95","","0.7","","12","","8","","","","100.18","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 10:00","2014","05","01","10:00","9.8","","8.9","","94","","0.2","","15","","11","","","","100.14","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 11:00","2014","05","01","11:00","10.4","","9.4","","93","","0.0","","15","","12","","","","100.09","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 12:00","2014","05","01","12:00","12.7","","11.1","","90","","0.0","","20","","12","","","","100.06","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 13:00","2014","05","01","13:00"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 14:00","2014","05","01","14:00","14.5","","11.5","","82","","0.0","","22","","12","","","","99.98","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 15:00","2014","05","01","15:00","15.7","","11.5","","76","","0.0","","22","","15","","","","99.91","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 16:00","2014","05","01","16:00","15.3","","11.4","","77","","0.0","","22","","16","","","","99.94","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 17:00","2014","05","01","17:00","14.3","","9.4","","72","","0.0","","23","","17","","","","99.93","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 18:00","2014","05","01","18:00","14.0","","7.6","","65","","0.0","","22","","20","","","","99.91","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 19:00","2014","05","01","19:00","13.5","","5.9","","60","","0.0","","24","","30","","","","99.95","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 20:00","2014","05","01","20:00","12.3","","6.1","","66","","0.0","","24","","27","","","","100.00","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 21:00","2014","05","01","21:00","11.4","","6.2","","71","","0.0","","24","","24","","","","100.06","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 22:00","2014","05","01","22:00","11.0","","5.5","","69","","0.0","","25","","27","","","","100.05","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-01 23:00","2014","05","01","23:00","10.6","","6.1","","74","","0.0","","24","","16","","","","100.05","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 00:00","2014","05","02","00:00","9.6","","6.2","","79","","0.0","","21","","13","","","","100.03","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 01:00","2014","05","02","01:00","9.1","","5.0","","76","","0.0","","21","","15","","","","99.98","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 02:00","2014","05","02","02:00","8.6","","4.7","","77","","0.0","","20","","10","","","","99.96","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 03:00","2014","05","02","03:00","8.9","","4.7","","75","","0.0","","20","","13","","","","99.92","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 04:00","2014","05","02","04:00","9.0","","4.3","","72","","0.0","","23","","14","","","","99.91","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 05:00","2014","05","02","05:00","8.8","","4.5","","75","","0.0","","22","","11","","","","99.89","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 06:00","2014","05","02","06:00","9.1","","4.6","","74","","0.0","","22","","11","","","","99.88","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 07:00","2014","05","02","07:00","9.1","","4.7","","74","","0.0","","21","","15","","","","99.89","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 08:00","2014","05","02","08:00","9.4","","5.3","","76","","0.0","","22","","15","","","","99.91","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 09:00","2014","05","02","09:00","10.2","","5.2","","71","","0.0","","24","","16","","","","99.92","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 10:00","2014","05","02","10:00","11.3","","6.5","","72","","0.0","","22","","21","","","","99.92","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 11:00","2014","05","02","11:00","12.2","","6.3","","67","","0.0","","22","","24","","","","99.93","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 12:00","2014","05","02","12:00","11.8","","6.0","","67","","0.0","","22","","24","","","","99.95","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 13:00","2014","05","02","13:00","12.4","","6.0","","65","","0.0","","22","","21","","","","99.94","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 14:00","2014","05","02","14:00","11.5","","6.4","","71","","0.0","","24","","21","","","","99.94","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 15:00","2014","05","02","15:00","12.0","","6.5","","69","","0.0","","24","","17","","","","99.95","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 16:00","2014","05","02","16:00","11.0","","5.8","","71","","0.0","","24","","26","","","","99.97","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 17:00","2014","05","02","17:00","12.2","","5.6","","64","","0.0","","22","","16","","","","100.03","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 18:00","2014","05","02","18:00","12.5","","5.1","","61","","0.0","","24","","21","","","","100.09","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 19:00","2014","05","02","19:00","11.5","","5.1","","65","","0.0","","22","","15","","","","100.14","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 20:00","2014","05","02","20:00","11.2","","5.0","","66","","0.0","","23","","20","","","","100.22","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 21:00","2014","05","02","21:00","10.9","","4.8","","66","","0.0","","24","","17","","","","100.27","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 22:00","2014","05","02","22:00","10.7","","4.7","","67","","0.0","","24","","16","","","","100.31","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-02 23:00","2014","05","02","23:00","10.4","","5.0","","69","","0.0","","23","","16","","","","100.32","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 00:00","2014","05","03","00:00","9.9","","5.6","","75","","0.0","","22","","10","","","","100.33","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 01:00","2014","05","03","01:00","9.4","","6.0","","79","","0.0","","22","","10","","","","100.32","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 02:00","2014","05","03","02:00","9.2","","6.2","","82","","0.0","","21","","9","","","","100.30","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 03:00","2014","05","03","03:00","9.1","","6.5","","83","","0.0","","21","","12","","","","100.32","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 04:00","2014","05","03","04:00","8.8","","6.4","","85","","0.0","","20","","10","","","","100.33","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 05:00","2014","05","03","05:00","8.7","","6.5","","86","","0.0","","21","","11","","","","100.37","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 06:00","2014","05","03","06:00","9.3","","6.8","","84","","0.0","","21","","12","","","","100.39","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 07:00","2014","05","03","07:00","9.9","","6.9","","82","","0.0","","22","","11","","","","100.40","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 08:00","2014","05","03","08:00","10.5","","6.8","","78","","0.0","","21","","14","","","","100.40","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 09:00","2014","05","03","09:00","10.2","","7.8","","85","","0.0","","22","","10","","","","100.41","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 10:00","2014","05","03","10:00","11.7","","7.8","","77","","0.0","","19","","12","","","","100.36","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 11:00","2014","05","03","11:00","13.4","","7.3","","67","","0.0","","21","","14","","","","100.31","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 12:00","2014","05","03","12:00","14.5","","6.9","","60","","0.0","","22","","15","","","","100.24","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 13:00","2014","05","03","13:00","15.7","","6.4","","54","","0.0","","21","","15","","","","100.17","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 14:00","2014","05","03","14:00","15.9","","6.3","","53","","0.0","","23","","14","","","","100.11","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 15:00","2014","05","03","15:00","14.7","","6.7","","59","","0.0","","25","","9","","","","100.10","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 16:00","2014","05","03","16:00","12.7","","8.2","","74","","0.0","","16","","14","","","","100.10","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 17:00","2014","05","03","17:00","12.6","","9.1","","79","","0.0","","17","","19","","","","100.11","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 18:00","2014","05","03","18:00","11.3","","8.0","","80","","0.3","","15","","17","","","","100.10","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 19:00","2014","05","03","19:00","11.3","","6.9","","74","","0.0","","16","","13","","","","100.08","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 20:00","2014","05","03","20:00","10.0","","6.9","","81","","0.0","","15","","14","","","","100.06","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 21:00","2014","05","03","21:00","9.9","","7.5","","85","","0.0","","15","","20","","","","100.04","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 22:00","2014","05","03","22:00","9.8","","7.0","","83","","0.0","","15","","18","","","","99.98","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-03 23:00","2014","05","03","23:00","9.7","","7.3","","85","","0.2","","15","","15","","","","99.94","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-04 00:00","2014","05","04","00:00","9.8","","7.4","","85","","0.0","","14","","16","","","","99.86","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-04 01:00","2014","05","04","01:00","9.4","","7.6","","88","","0.0","","13","","12","","","","99.75","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-04 02:00","2014","05","04","02:00","9.7","","7.7","","88","","0.0","","12","","12","","","","99.67","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-04 03:00","2014","05","04","03:00","8.9","","7.9","","93","","0.6","","18","","15","","","","99.65","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-04 04:00","2014","05","04","04:00","8.9","","7.5","","91","","0.2","","23","","13","","","","99.63","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-04 05:00","2014","05","04","05:00","8.6","","7.1","","91","","0.0","","21","","7","","","","99.64","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-04 06:00","2014","05","04","06:00","7.9","","6.5","","91","","4.3","","23","","19","","","","99.65","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-04 07:00","2014","05","04","07:00","7.7","","6.2","","90","","1.1","","24","","16","","","","99.64","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-04 08:00","2014","05","04","08:00","7.8","","6.3","","90","","1.3","","23","","13","","","","99.63","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-04 09:00","2014","05","04","09:00","7.6","","5.9","","89","","0.7","","23","","16","","","","99.61","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-04 10:00","2014","05","04","10:00","7.9","","6.2","","89","","0.6","","23","","16","","","","99.60","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-04 11:00","2014","05","04","11:00","8.2","","6.1","","87","","0.2","","23","","15","","","","99.60","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-04 12:00","2014","05","04","12:00","7.8","","6.0","","88","","0.6","","24","","16","","","","99.60","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-04 13:00","2014","05","04","13:00","7.7","","6.2","","91","","0.7","","24","","14","","","","99.62","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-04 14:00","2014","05","04","14:00","8.0","","6.8","","93","","0.8","","23","","14","","","","99.62","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-04 15:00","2014","05","04","15:00","9.2","","8.2","","93","","0.0","","24","","11","","","","99.61","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-04 16:00","2014","05","04","16:00","11.4","","8.8","","84","","0.0","","26","","15","","","","99.65","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-04 17:00","2014","05","04","17:00","11.3","","8.3","","82","","0.0","","28","","18","","","","99.72","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-04 18:00","2014","05","04","18:00","8.9","","7.1","","89","","4.4","","32","","10","","","","99.83","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-04 19:00","2014","05","04","19:00","8.8","","7.6","","93","","2.2","","29","","8","","","","99.91","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-04 20:00","2014","05","04","20:00","8.9","","7.8","","93","","0.2","","29","","13","","","","100.00","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-05-04 21:00","2014","05","04","21:00","9.1","","7.9","","93","","0.0","","29","","14","","","","100.08","","","","","","NA"
