"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 00:00","2012","09","01","00:00","19.7","","12.4","","63","","","","3","","11","","","","100.96","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 01:00","2012","09","01","01:00","18.9","","11.9","","64","","","","1","","7","","","","101.02","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 02:00","2012","09","01","02:00","19.2","","11.9","","63","","","","2","","11","","","","101.07","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 03:00","2012","09","01","03:00","18.0","","12.1","","68","","","","2","","11","","","","101.15","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 04:00","2012","09","01","04:00","16.4","","12.0","","75","","","","2","","11","","","","101.23","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 05:00","2012","09","01","05:00","16.3","","12.2","","77","","","","2","","13","","","","101.33","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 06:00","2012","09","01","06:00","16.4","","11.9","","75","","","","2","","13","","","","101.43","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 07:00","2012","09","01","07:00","17.8","","10.0","","60","","","","4","","19","","","","101.50","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 08:00","2012","09","01","08:00","18.7","","8.9","","53","","","","5","","19","","","","101.56","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 09:00","2012","09","01","09:00","20.4","","7.8","","44","","","","5","","15","","","","101.61","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 10:00","2012","09","01","10:00","21.8","","7.2","","39","","","","4","","13","","","","101.62","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 11:00","2012","09","01","11:00","22.6","","4.2","","30","","","","6","","9","","","","101.63","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 12:00","2012","09","01","12:00","23.2","","5.0","","31","","","","4","","9","","","","101.60","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 13:00","2012","09","01","13:00","23.9","","5.4","","30","","","","3","","9","","","","101.57","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 14:00","2012","09","01","14:00","23.8","","5.7","","31","","","","5","","9","","","","101.50","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 15:00","2012","09","01","15:00","24.8","","6.1","","30","","","","33","","9","","","","101.47","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 16:00","2012","09","01","16:00","24.3","","5.1","","29","","","","32","","9","","","","101.46","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 17:00","2012","09","01","17:00","24.4","","5.7","","30","","","","3","","6","","","","101.43","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 18:00","2012","09","01","18:00","22.7","","7.0","","36","","","","18","","11","","","","101.45","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 19:00","2012","09","01","19:00","20.7","","7.2","","42","","","","17","","6","","","","101.49","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 20:00","2012","09","01","20:00","19.0","","9.0","","52","","","","14","","11","","","","101.49","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 21:00","2012","09","01","21:00","18.7","","6.5","","45","","","","14","","11","","","","101.50","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 22:00","2012","09","01","22:00","17.8","","8.4","","54","","","","15","","6","","","","101.49","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-01 23:00","2012","09","01","23:00","16.9","","8.2","","56","","","","19","","4","","","","101.49","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 00:00","2012","09","02","00:00","16.2","","8.2","","59","","","","18","","4","","","","101.50","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 01:00","2012","09","02","01:00","14.9","","9.0","","68","","","","36","","4","","","","101.50","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 02:00","2012","09","02","02:00","13.9","","9.0","","72","","","","3","","4","","","","101.50","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 03:00","2012","09","02","03:00","13.2","","8.5","","73","","","","4","","2","","","","101.46","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 04:00","2012","09","02","04:00","13.1","","9.2","","77","","","","","","0","","","","101.44","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 05:00","2012","09","02","05:00","14.0","","9.9","","76","","","","2","","6","","","","101.46","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 06:00","2012","09","02","06:00","13.1","","10.3","","83","","","","1","","7","","","","101.51","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 07:00","2012","09","02","07:00","15.5","","10.6","","73","","","","2","","9","","","","101.52","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 08:00","2012","09","02","08:00","17.7","","11.3","","66","","","","35","","7","","","","101.54","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 09:00","2012","09","02","09:00","19.3","","10.7","","57","","","","33","","6","","","","101.55","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 10:00","2012","09","02","10:00","20.2","","10.1","","52","","","","34","","9","","","","101.56","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 11:00","2012","09","02","11:00","22.2","","9.3","","44","","","","2","","6","","","","101.55","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 12:00","2012","09","02","12:00","24.4","","7.3","","33","","","","3","","6","","","","101.51","","25","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 13:00","2012","09","02","13:00","24.7","","4.8","","28","","","","7","","9","","","","101.50","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 14:00","2012","09","02","14:00","24.8","","5.0","","28","","","","3","","6","","","","101.48","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 15:00","2012","09","02","15:00","25.3","","4.4","","26","","","","35","","9","","","","101.45","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 16:00","2012","09","02","16:00","25.3","","4.3","","26","","","","4","","11","","","","101.46","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 17:00","2012","09","02","17:00","23.7","","4.7","","29","","","","16","","9","","","","101.48","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 18:00","2012","09","02","18:00","23.9","","5.4","","30","","","","10","","9","","","","101.50","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 19:00","2012","09","02","19:00","20.9","","7.3","","41","","","","12","","11","","","","101.54","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 20:00","2012","09","02","20:00","20.8","","7.7","","43","","","","11","","7","","","","101.55","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 21:00","2012","09","02","21:00","19.6","","8.6","","49","","","","12","","9","","","","101.56","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-09-02 22:00","2012","09","02","22:00","19.1","","9.4","","53","","","","12","","6","","","","101.61","","","","","","NA"
