"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 00:00","2011","06","01","00:00","","M","","M","","M","","","17","","9","","","","101.00","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 01:00","2011","06","01","01:00","","M","","M","","M","","","16","","9","","","","100.93","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 02:00","2011","06","01","02:00","","M","","M","","M","","","15","","9","","","","100.85","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 03:00","2011","06","01","03:00","","M","","M","","M","","","15","","6","","","","100.76","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 04:00","2011","06","01","04:00","","M","","M","","M","","","19","","9","","","","100.70","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 05:00","2011","06","01","05:00","","M","","M","","M","","","21","","6","","","","100.64","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 06:00","2011","06","01","06:00","","M","","M","","M","","","24","","13","","","","100.62","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 07:00","2011","06","01","07:00","","M","","M","","M","","","21","","15","","","","100.63","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 08:00","2011","06","01","08:00","","M","","M","","M","","","23","","13","","","","100.58","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 09:00","2011","06","01","09:00","","M","","M","","M","","","23","","20","","","","100.46","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 10:00","2011","06","01","10:00","","M","","M","","M","","","22","","22","","","","100.39","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 11:00","2011","06","01","11:00","","M","","M","","M","","","24","","28","","","","100.28","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 12:00","2011","06","01","12:00","","M","","M","","M","","","23","","33","","","","100.18","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 13:00","2011","06","01","13:00","","M","","M","","M","","","23","","35","","","","100.08","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 14:00","2011","06","01","14:00","","M","","M","","M","","","24","","43","","","","100.00","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 15:00","2011","06","01","15:00","","M","","M","","M","","","24","","43","","","","99.92","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 16:00","2011","06","01","16:00","","M","","M","","M","","","23","","41","","","","99.89","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 17:00","2011","06","01","17:00","","M","","M","","M","","","23","","37","","","","99.87","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 18:00","2011","06","01","18:00","","M","","M","","M","","","28","","44","","","","100.01","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 19:00","2011","06","01","19:00","","M","","M","","M","","","29","","39","","","","100.16","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 20:00","2011","06","01","20:00","","M","","M","","M","","","29","","37","","","","100.22","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 21:00","2011","06","01","21:00","","M","","M","","M","","","28","","33","","","","100.28","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 22:00","2011","06","01","22:00","","M","","M","","M","","","27","","15","","","","100.28","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-01 23:00","2011","06","01","23:00","","M","","M","","M","","","26","","20","","","","100.26","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 00:00","2011","06","02","00:00","","M","","M","","M","","","26","","22","","","","100.20","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 01:00","2011","06","02","01:00","","M","","M","","M","","","26","","22","","","","100.12","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 02:00","2011","06","02","02:00","","M","","M","","M","","","26","","30","","","","100.06","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 03:00","2011","06","02","03:00","","M","","M","","M","","","27","","30","","","","100.03","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 04:00","2011","06","02","04:00","","M","","M","","M","","","27","","32","","","","100.09","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 05:00","2011","06","02","05:00","","M","","M","","M","","","29","","26","","","","100.23","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 06:00","2011","06","02","06:00","","M","","M","","M","","","30","","19","","","","100.28","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 07:00","2011","06","02","07:00","","M","","M","","M","","","31","","35","","","","100.40","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 08:00","2011","06","02","08:00","","M","","M","","M","","","30","","30","","","","100.48","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 09:00","2011","06","02","09:00","","M","","M","","M","","","29","","30","","","","100.56","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 10:00","2011","06","02","10:00","","M","","M","","M","","","28","","35","","","","100.62","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 11:00","2011","06","02","11:00","","M","","M","","M","","","28","","30","","","","100.65","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 12:00","2011","06","02","12:00","","M","","M","","M","","","27","","30","","","","100.63","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 13:00","2011","06","02","13:00","","M","","M","","M","","","29","","30","","","","100.62","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 14:00","2011","06","02","14:00","","M","","M","","M","","","30","","39","","","","100.67","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 15:00","2011","06","02","15:00","","M","","M","","M","","","30","","33","","","","100.72","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 16:00","2011","06","02","16:00","","M","","M","","M","","","31","","35","","","","100.76","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 17:00","2011","06","02","17:00","","M","","M","","M","","","30","","32","","","","100.80","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 18:00","2011","06","02","18:00","","M","","M","","M","","","32","","35","","","","100.86","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 19:00","2011","06","02","19:00","","M","","M","","M","","","32","","28","","","","100.94","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 20:00","2011","06","02","20:00","","M","","M","","M","","","33","","22","","","","100.99","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 21:00","2011","06","02","21:00","","M","","M","","M","","","33","","15","","","","101.08","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 22:00","2011","06","02","22:00","","M","","M","","M","","","33","","11","","","","101.08","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-02 23:00","2011","06","02","23:00","","M","","M","","M","","","32","","13","","","","101.10","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-06-03 00:00","2011","06","03","00:00","","M","","M","","M","","","31","","17","","","","101.15","","","","","","NA"
