"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-06-01 00:00","2013","06","01","00:00","24.0","","16.0","","61","","","","24","","9","","","","100.71","","29","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-06-01 01:00","2013","06","01","01:00","23.4","","16.1","","64","","","","22","","7","","","","100.70","","28","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-06-01 02:00","2013","06","01","02:00","22.4","","16.2","","68","","","","22","","9","","","","100.70","","27","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-06-01 03:00","2013","06","01","03:00","21.6","","16.1","","71","","","","20","","15","","","","100.67","","26","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-06-01 04:00","2013","06","01","04:00","21.8","","16.1","","70","","","","20","","13","","","","100.67","","26","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-06-01 05:00","2013","06","01","05:00","21.5","","16.2","","72","","","","22","","11","","","","100.71","","26","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-06-01 06:00","2013","06","01","06:00","22.6","","16.1","","67","","","","24","","19","","","","100.77","","27","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-06-01 07:00","2013","06","01","07:00","24.0","","17.2","","66","","","","25","","17","","","","100.83","","29","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-06-01 08:00","2013","06","01","08:00","24.1","","17.9","","68","","","","27","","17","","","","100.80","","30","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-06-01 09:00","2013","06","01","09:00","23.6","","17.8","","70","","","","22","","11","","","","100.78","","29","","","","NA"
