"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 00:00","2013","11","01","00:00","12.9","","11.6","","92","","","","15","","22","","","","99.27","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 01:00","2013","11","01","01:00","13.4","","12.1","","92","","","","16","","24","","","","99.10","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 02:00","2013","11","01","02:00","13.5","","12.3","","92","","","","16","","22","","","","98.95","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 03:00","2013","11","01","03:00","14.0","","12.7","","92","","","","16","","28","","","","98.77","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 04:00","2013","11","01","04:00","14.2","","13.0","","92","","","","16","","26","","","","98.63","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 05:00","2013","11","01","05:00","14.4","","13.3","","93","","","","16","","26","","","","98.54","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 06:00","2013","11","01","06:00","14.5","","13.5","","94","","","","16","","22","","","","98.41","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 07:00","2013","11","01","07:00","14.6","","13.4","","93","","","","17","","20","","","","98.32","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 08:00","2013","11","01","08:00","15.6","","13.6","","88","","","","17","","22","","","","98.31","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 09:00","2013","11","01","09:00","16.6","","13.7","","83","","","","18","","20","","","","98.26","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 10:00","2013","11","01","10:00","15.1","","12.5","","84","","","","24","","41","","","","98.30","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 11:00","2013","11","01","11:00","17.4","","10.5","","64","","","","23","","37","","","","98.22","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 12:00","2013","11","01","12:00","17.3","","7.2","","51","","","","24","","46","","","","98.32","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 13:00","2013","11","01","13:00","15.9","","6.2","","52","","","","24","","48","","","","98.35","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 14:00","2013","11","01","14:00","15.1","","6.5","","56","","","","24","","46","","","","98.39","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 15:00","2013","11","01","15:00","14.4","","6.2","","58","","","","23","","44","","","","98.48","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 16:00","2013","11","01","16:00","14.0","","6.1","","59","","","","23","","48","","","","98.54","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 17:00","2013","11","01","17:00","13.7","","6.6","","62","","","","24","","52","","","","98.67","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 18:00","2013","11","01","18:00","13.3","","6.1","","62","","","","26","","50","","","","98.97","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 19:00","2013","11","01","19:00","11.9","","4.6","","61","","","","27","","32","","","","99.26","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 20:00","2013","11","01","20:00","11.8","","5.2","","64","","","","27","","35","","","","99.40","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 21:00","2013","11","01","21:00","10.5","","4.7","","67","","","","30","","26","","","","99.69","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 22:00","2013","11","01","22:00","9.5","","4.0","","69","","","","29","","19","","","","99.76","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-01 23:00","2013","11","01","23:00","9.3","","3.9","","69","","","","27","","7","","","","99.83","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-02 00:00","2013","11","02","00:00","8.8","","3.7","","70","","","","26","","13","","","","99.86","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-02 01:00","2013","11","02","01:00","8.4","","3.3","","70","","","","24","","7","","","","99.87","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-02 02:00","2013","11","02","02:00","7.7","","4.6","","81","","","","26","","6","","","","99.86","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-02 03:00","2013","11","02","03:00","7.4","","4.6","","82","","","","26","","6","","","","99.84","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-02 04:00","2013","11","02","04:00","6.3","","4.6","","89","","","","34","","6","","","","99.86","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-02 05:00","2013","11","02","05:00","6.0","","4.9","","93","","","","","","0","","","","99.90","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-02 06:00","2013","11","02","06:00","6.0","","4.9","","93","","","","28","","6","","","","99.94","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-02 07:00","2013","11","02","07:00","5.7","","4.6","","93","","","","31","","7","","","","100.01","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-02 08:00","2013","11","02","08:00","5.6","","4.5","","93","","","","34","","7","","","","100.07","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-02 09:00","2013","11","02","09:00","5.5","","3.9","","89","","","","1","","13","","","","100.11","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-02 10:00","2013","11","02","10:00","5.2","","3.4","","88","","","","2","","15","","","","100.15","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-02 11:00","2013","11","02","11:00","4.9","","2.7","","86","","","","3","","17","","","","100.17","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-02 12:00","2013","11","02","12:00","5.4","","2.5","","82","","","","3","","13","","","","100.15","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-02 13:00","2013","11","02","13:00","5.5","","2.3","","80","","","","3","","15","","","","100.18","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-02 14:00","2013","11","02","14:00","5.9","","1.2","","72","","","","3","","11","","","","100.21","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-02 15:00","2013","11","02","15:00","6.1","","0.7","","68","","","","3","","13","","","","100.26","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-02 16:00","2013","11","02","16:00","6.1","","1.4","","72","","","","2","","6","","","","100.36","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-02 17:00","2013","11","02","17:00","6.0","","-0.5","","63","","","","36","","15","","","","100.47","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-02 18:00","2013","11","02","18:00","4.7","","-1.5","","64","","","","2","","24","","","","100.63","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-02 19:00","2013","11","02","19:00","3.2","","-2.8","","65","","","","1","","22","","","","100.76","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-02 20:00","2013","11","02","20:00","2.6","","-4.4","","60","","","","1","","22","","","","100.88","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-11-02 21:00","2013","11","02","21:00","2.2","","-5.7","","56","","","","2","","22","","","","101.02","","","","","","NA"
