"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 00:00","2012","12","01","00:00","-10.7","","-16.1","","64","","","","6","","7","","","","103.28","","","","-15","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 01:00","2012","12","01","01:00","-10.7","","-16.4","","63","","","","5","","11","","","","103.26","","","","-16","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 02:00","2012","12","01","02:00","-10.9","","-16.6","","63","","","","5","","15","","","","103.23","","","","-18","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 03:00","2012","12","01","03:00","-12.3","","-15.7","","76","","","","3","","15","","","","103.28","","","","-20","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 04:00","2012","12","01","04:00","-11.7","","-15.2","","75","","","","4","","13","","","","103.23","","","","-18","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 05:00","2012","12","01","05:00","-11.7","","-14.8","","78","","","","2","","17","","","","103.21","","","","-19","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 06:00","2012","12","01","06:00","-11.6","","-14.8","","77","","","","5","","20","","","","103.20","","","","-20","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 07:00","2012","12","01","07:00","-11.2","","-14.1","","79","","","","3","","19","","","","103.22","","","","-19","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 08:00","2012","12","01","08:00","-10.8","","-15.4","","69","","","","5","","19","","","","103.24","","","","-19","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 09:00","2012","12","01","09:00","-10.4","","-15.9","","64","","","","5","","22","","","","103.20","","","","-19","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 10:00","2012","12","01","10:00","-10.7","","-15.6","","67","","","","5","","19","","","","103.20","","","","-19","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 11:00","2012","12","01","11:00","-10.2","","-15.2","","67","","","","4","","19","","","","103.10","","","","-18","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 12:00","2012","12","01","12:00","-9.3","","-14.6","","65","","","","5","","15","","","","102.99","","","","-16","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 13:00","2012","12","01","13:00","-8.5","","-14.2","","63","","","","5","","19","","","","102.92","","","","-16","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 14:00","2012","12","01","14:00","-8.3","","-13.7","","65","","","","4","","19","","","","102.88","","","","-16","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 15:00","2012","12","01","15:00","-8.2","","-13.5","","66","","","","5","","17","","","","102.86","","","","-15","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 16:00","2012","12","01","16:00","-7.7","","-12.6","","68","","","","4","","17","","","","102.83","","","","-14","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 17:00","2012","12","01","17:00","-7.4","","-11.9","","70","","","","5","","13","","","","102.74","","","","-13","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 18:00","2012","12","01","18:00","-6.8","","-11.3","","70","","","","3","","17","","","","102.73","","","","-13","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 19:00","2012","12","01","19:00","-6.5","","-10.8","","71","","","","4","","15","","","","102.64","","","","-12","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 20:00","2012","12","01","20:00","-5.9","","-10.2","","72","","","","4","","13","","","","102.56","","","","-11","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 21:00","2012","12","01","21:00","-5.7","","-9.7","","73","","","","2","","17","","","","102.51","","","","-12","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 22:00","2012","12","01","22:00","-4.7","","-8.6","","74","","","","3","","11","","","","102.38","","","","-9","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-01 23:00","2012","12","01","23:00","-4.6","","-8.2","","76","","","","3","","15","","","","102.30","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 00:00","2012","12","02","00:00","-4.3","","-7.6","","78","","","","2","","15","","","","102.19","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 01:00","2012","12","02","01:00","-4.0","","-7.0","","80","","","","2","","15","","","","102.13","","","","-9","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 02:00","2012","12","02","02:00","-3.8","","-6.6","","81","","","","2","","17","","","","102.08","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 03:00","2012","12","02","03:00","-3.5","","-6.1","","82","","","","1","","15","","","","102.04","","","","-9","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 04:00","2012","12","02","04:00","-3.0","","-5.5","","83","","","","2","","13","","","","101.87","","","","-8","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 05:00","2012","12","02","05:00","-2.6","","-5.1","","83","","","","2","","13","","","","101.77","","","","-7","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 06:00","2012","12","02","06:00","-1.9","","-4.3","","84","","","","1","","11","","","","101.68","","","","-6","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 07:00","2012","12","02","07:00","-0.4","","-2.9","","83","","","","32","","4","","","","101.59","","","","-2","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 08:00","2012","12","02","08:00","4.7","","1.7","","81","","","","15","","26","","","","101.48","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 09:00","2012","12","02","09:00","5.2","","2.0","","80","","","","15","","28","","","","101.36","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 10:00","2012","12","02","10:00","5.8","","2.3","","78","","","","16","","28","","","","101.29","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 11:00","2012","12","02","11:00","6.3","","2.6","","77","","","","16","","26","","","","101.17","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 12:00","2012","12","02","12:00","6.6","","2.8","","77","","","","16","","24","","","","101.01","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 13:00","2012","12","02","13:00","6.2","","3.8","","85","","","","16","","22","","","","100.90","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 14:00","2012","12","02","14:00","6.1","","4.0","","86","","","","17","","17","","","","100.84","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 15:00","2012","12","02","15:00","5.6","","4.2","","91","","","","16","","22","","","","100.76","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 16:00","2012","12","02","16:00","5.5","","4.4","","93","","","","16","","19","","","","100.68","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 17:00","2012","12","02","17:00","5.5","","4.5","","93","","","","16","","15","","","","100.66","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 18:00","2012","12","02","18:00","5.8","","4.9","","94","","","","16","","13","","","","100.66","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 19:00","2012","12","02","19:00","6.2","","5.4","","95","","","","17","","13","","","","100.68","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 20:00","2012","12","02","20:00","6.6","","5.8","","95","","","","19","","11","","","","100.68","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 21:00","2012","12","02","21:00","6.7","","5.9","","95","","","","23","","9","","","","100.70","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 22:00","2012","12","02","22:00","7.2","","6.4","","95","","","","23","","9","","","","100.72","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-12-02 23:00","2012","12","02","23:00","8.2","","7.4","","95","","","","25","","13","","","","100.72","","","","","","NA"
