"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-01-01 00:00","2013","01","01","00:00","-0.9","","-1.8","","94","","","","27","","28","","","","99.90","","","","-7","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-01-01 01:00","2013","01","01","01:00","-1.3","","-5.1","","75","","","","28","","32","","","","99.93","","","","-8","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-01-01 02:00","2013","01","01","02:00","-2.2","","-6.0","","75","","","","30","","28","","","","100.09","","","","-9","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-01-01 03:00","2013","01","01","03:00","-5.5","","-11.4","","63","","","","29","","32","","","","100.22","","","","-14","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-01-01 04:00","2013","01","01","04:00","-7.5","","-12.4","","68","","","","30","","35","","","","100.32","","","","-17","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-01-01 05:00","2013","01","01","05:00","-9.6","","-14.4","","68","","","","29","","33","","","","100.48","","","","-19","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-01-01 06:00","2013","01","01","06:00","-11.3","","-17.0","","63","","","","31","","28","","","","100.67","","","","-21","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-01-01 07:00","2013","01","01","07:00","-12.2","","-17.2","","66","","","","29","","22","","","","100.81","","","","-21","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-01-01 08:00","2013","01","01","08:00","-12.7","","-17.4","","68","","","","28","","15","","","","100.90","","","","-20","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2013-01-01 09:00","2013","01","01","09:00","-12.7","","-17.3","","68","","","","28","","17","","","","100.87","","","","-21","","NA"
