"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2009-01-01 00:00","2009","01","01","00:00","-18.2","","-23.6","","63","","","","30","","15","","","","101.41","","","","-27","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2009-01-01 01:00","2009","01","01","01:00","-17.6","","-22.9","","63","","","","30","","17","","","","101.44","","","","-27","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2009-01-01 02:00","2009","01","01","02:00","-18.5","","-24.6","","59","","","","30","","19","","","","101.54","","","","-28","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2009-01-01 03:00","2009","01","01","03:00","-19.2","","-25.0","","60","","","","29","","15","","","","101.67","","","","-28","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2009-01-01 04:00","2009","01","01","04:00","-19.0","","-24.9","","60","","","","30","","15","","","","101.76","","","","-28","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2009-01-01 05:00","2009","01","01","05:00","-19.4","","-25.4","","59","","","","29","","19","","","","101.86","","","","-29","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2009-01-01 06:00","2009","01","01","06:00","-19.7","","-25.4","","60","","","","29","","17","","","","101.92","","","","-29","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2009-01-01 07:00","2009","01","01","07:00","-19.4","","-24.8","","62","","","","29","","20","","","","102.00","","","","-30","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2009-01-01 08:00","2009","01","01","08:00","-19.8","","-24.6","","66","","","","29","","19","","","","102.05","","","","-30","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2009-01-01 09:00","2009","01","01","09:00","-19.1","","-24.2","","64","","","","28","","20","","","","102.15","","","","-29","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2009-01-01 10:00","2009","01","01","10:00","-18.0","","-24.1","","59","","","","29","","28","","","","102.18","","","","-30","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2009-01-01 11:00","2009","01","01","11:00","-17.3","","-24.0","","56","","","","29","","24","","","","102.16","","","","-28","","NA"
