Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Precip (mm),Snow on Grnd (cm),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Wind Chill,Berri1,Maisonneuve_2,Maisonneuve_3
2018,1,1,-18.8,-25.3,-22.1,0.0,18.0,-27.416666666666668,62.458333333333336,26.291666666666668,12.333333333333334,-30.375,29,40,15
2018,1,2,-14.0,-24.9,-19.5,2.5,18.0,-22.34166666666667,77.83333333333333,20.291666666666668,8.25,-25.25,94,102,44
2018,1,3,-10.2,-16.2,-13.2,0.2,22.0,-16.058333333333334,83.5,13.583333333333334,8.083333333333334,-18.75,200,221,73
2018,1,4,-6.7,-14.1,-10.4,0.9,23.0,-12.200000000000001,83.54166666666667,13.125,16.458333333333332,-16.625,230,307,92
2018,1,5,-14.1,-22.5,-18.3,3.4,17.0,-21.375,81.75,26.375,32.041666666666664,-31.666666666666668,125,136,47
2018,1,6,-20.0,-23.8,-21.9,0.4,15.0,-26.3875,69.83333333333333,25.708333333333332,27.5,-34.875,64,42,16
2018,1,7,-11.0,-24.3,-17.7,3.4,15.0,-23.1375,69.66666666666667,19.708333333333332,13.666666666666666,-27.166666666666668,57,44,36
2018,1,8,-3.0,-11.1,-7.1,9.9,20.0,-9.379166666666666,90.20833333333333,18.041666666666668,7.583333333333333,-11.875,191,287,49
2018,1,9,-0.2,-10.3,-5.3,0.0,27.0,-6.2625,76.04166666666667,27.416666666666668,18.375,-7.791666666666667,434,451,141
2018,1,10,-0.8,-15.1,-8.0,0.4,28.0,-10.479166666666666,78.91666666666667,12.875,6.375,-10.541666666666666,477,516,137
2018,1,11,6.1,-1.2,2.5,6.7,26.0,1.1041666666666667,91.5,14.208333333333334,10.958333333333334,-0.2916666666666667,389,296,116
2018,1,12,9.8,-7.8,1.0,18.7,12.0,4.441666666666666,97.41666666666667,17.25,20.583333333333332,-1.2916666666666667,291,431,100
2018,1,13,-7.8,-24.9,-16.4,12.7,17.0,-14.645833333333334,84.58333333333333,31.458333333333332,16.041666666666668,-20.041666666666668,8,2,9
2018,1,14,-17.9,-27.1,-22.5,0.4,28.0,-25.400000000000002,77.375,18.958333333333332,4.666666666666667,-26.458333333333332,60,126,22
2018,1,15,-14.9,-23.7,-19.3,0.0,26.0,-21.7375,79.95833333333333,2.5833333333333335,13.041666666666666,-27.25,217,353,64
2018,1,16,-9.6,-15.1,-12.4,0.4,25.0,-14.304166666666667,85.08333333333333,5.333333333333333,9.291666666666666,-17.375,339,413,87
2018,1,17,-5.6,-12.9,-9.3,0.0,24.0,-11.220833333333333,86.16666666666667,24.0,8.291666666666666,-13.333333333333334,460,488,105
2018,1,18,-3.0,-6.0,-4.5,0.0,23.0,-7.3374999999999995,81.41666666666667,24.041666666666668,17.833333333333332,-10.666666666666666,449,539,112
2018,1,19,0.3,-4.6,-2.2,0.0,24.0,-5.354166666666667,81.375,22.291666666666668,12.875,-6.833333333333333,399,528,116
2018,1,20,4.1,-1.0,1.6,0.0,23.0,-2.3249999999999997,69.33333333333333,23.833333333333332,26.291666666666668,-0.7083333333333334,163,221,64
2018,1,21,0.6,-6.6,-3.0,0.0,19.0,-7.004166666666666,65.66666666666667,14.625,8.833333333333334,-4.083333333333333,160,212,66
2018,1,22,-3.4,-7.7,-5.6,9.3,19.0,-10.8375,72.66666666666667,3.875,21.583333333333332,-13.666666666666666,428,506,106
2018,1,23,3.8,-4.0,-0.1,11.3,20.0,-3.233333333333333,94.5,4.041666666666667,6.791666666666667,-4.375,136,240,52
2018,1,24,2.0,-13.7,-5.9,0.0,19.0,-11.879166666666668,70.04166666666667,27.0,26.041666666666668,-15.125,267,325,88
2018,1,25,-10.1,-16.6,-13.4,0.2,19.0,-18.941666666666666,63.166666666666664,26.875,19.0,-21.875,328,380,85
2018,1,26,-6.8,-19.1,-13.0,0.2,19.0,-15.875,72.29166666666667,12.541666666666666,8.75,-15.666666666666666,316,405,107
2018,1,27,6.5,-13.6,-3.6,2.2,19.0,-7.8,78.66666666666667,13.666666666666666,13.25,-9.75,127,176,35
2018,1,28,5.3,-5.6,-0.2,0.0,16.0,-3.0666666666666664,68.95833333333333,23.666666666666668,20.333333333333332,-1.25,168,208,51
2018,1,29,-5.5,-11.8,-8.7,0.0,15.0,-13.549999999999999,67.91666666666667,2.7916666666666665,17.083333333333332,-15.5,435,462,97
2018,1,30,-7.3,-14.3,-10.8,0.0,15.0,-14.833333333333334,70.625,10.0,15.75,-17.166666666666668,489,511,121
2018,1,31,-6.1,-17.6,-11.9,4.3,15.0,-16.441666666666666,74.66666666666667,19.333333333333332,10.291666666666666,-18.458333333333332,462,473,136
2018,2,1,4.7,-11.5,-3.4,0.0,16.0,-7.129166666666666,79.41666666666667,15.083333333333334,15.333333333333334,-8.375,421,479,106
2018,2,2,-8.3,-18.5,-13.4,0.4,15.0,-20.5125,60.375,28.541666666666668,20.208333333333332,-23.416666666666668,405,466,106
2018,2,3,-6.0,-21.0,-13.5,0.3,15.0,-17.545833333333334,71.79166666666667,18.75,8.958333333333334,-17.416666666666668,124,37,38
2018,2,4,-0.5,-6.8,-3.7,6.8,21.0,-3.8000000000000003,94.25,14.958333333333334,22.25,-9.333333333333334,57,99,34
2018,2,5,-1.1,-12.5,-6.8,1.2,22.0,-11.658333333333333,77.20833333333333,22.833333333333332,18.125,-14.875,273,417,98
2018,2,6,-4.6,-14.0,-9.3,0.0,25.0,-10.254166666666666,80.25,22.375,13.583333333333334,-12.791666666666666,420,445,104
2018,2,7,-9.7,-15.3,-12.5,7.3,24.0,-13.15,87.29166666666667,9.541666666666666,13.25,-17.666666666666668,300,312,80
2018,2,8,-7.4,-18.5,-13.0,0.3,29.0,-14.516666666666666,78.875,22.166666666666668,9.166666666666666,-16.375,293,375,87
2018,2,9,-5.8,-16.1,-11.0,0.0,29.0,-12.841666666666667,75.58333333333333,18.958333333333332,10.208333333333334,-14.166666666666666,362,486,95
2018,2,10,-4.8,-8.9,-6.9,7.1,28.0,-8.029166666666667,90.83333333333333,13.375,7.25,-10.083333333333334,87,176,43
2018,2,11,0.9,-7.2,-3.2,1.3,37.0,-5.804166666666667,86.875,8.333333333333334,12.083333333333334,-7.791666666666667,77,100,25
2018,2,12,-2.4,-13.2,-7.8,0.2,34.0,-10.195833333333333,70.125,27.208333333333332,21.75,-12.416666666666666,348,417,130
2018,2,13,-5.9,-17.9,-11.9,0.4,32.0,-15.804166666666667,71.58333333333333,22.0,7.625,-15.541666666666666,442,507,128
2018,2,14,4.6,-13.1,-4.3,0.0,32.0,-6.008333333333333,74.45833333333333,21.416666666666668,13.041666666666666,-4.791666666666667,428,562,125
2018,2,15,5.7,-4.6,0.6,0.2,28.0,0.00833333333333336,87.16666666666667,19.125,11.875,-1.1666666666666667,446,509,115
2018,2,16,3.6,-12.5,-4.5,7.2,22.0,-4.041666666666667,80.875,22.625,10.833333333333334,-4.5,371,471,116
2018,2,17,-2.1,-15.9,-9.0,0.2,27.0,-12.345833333333333,67.79166666666667,18.25,7.875,-10.916666666666666,120,160,43
2018,2,18,2.4,-5.9,-1.8,0.0,26.0,-6.6000000000000005,71.875,23.666666666666668,10.666666666666666,-5.166666666666667,169,206,49
2018,2,19,5.3,-3.1,1.1,1.2,25.0,-3.204166666666667,74.79166666666667,14.125,15.541666666666666,-3.2083333333333335,487,540,153
2018,2,20,2.7,0.5,1.6,14.8,21.0,1.4958333333333333,97.70833333333333,5.375,12.291666666666666,0.0,376,436,118
2018,2,21,8.8,-3.7,2.6,1.9,18.0,-0.10416666666666667,85.125,20.166666666666668,13.083333333333334,-0.4583333333333333,488,640,182
2018,2,22,-3.2,-7.6,-5.4,0.0,15.0,-11.5875,60.75,13.375,6.416666666666667,-7.75,545,587,166
2018,2,23,2.8,-7.9,-2.6,4.4,15.0,-5.829166666666667,79.58333333333333,10.708333333333334,12.166666666666666,-5.0,374,462,142
2018,2,24,3.4,-3.0,0.2,0.0,12.0,-2.3541666666666665,76.91666666666667,25.5,16.125,-1.0833333333333333,309,394,119
2018,2,25,4.7,-2.9,0.9,5.9,11.0,-3.8666666666666667,73.875,10.833333333333334,25.333333333333332,-3.5416666666666665,114,148,29
2018,2,26,4.6,-0.8,1.9,0.0,11.0,-3.6750000000000003,63.625,24.75,19.958333333333332,0.0,476,782,196
2018,2,27,7.6,-2.3,2.7,0.0,8.0,-3.7375000000000003,62.625,23.125,12.416666666666666,-1.5833333333333333,749,1028,316
2018,2,28,8.2,0.9,4.6,0.0,6.0,-1.1541666666666666,69.95833333333333,10.0,12.25,0.0,590,904,280
2018,3,1,3.0,-0.9,1.1,0.0,3.0,-1.9708333333333332,80.25,12.125,11.75,-0.25,743,1033,301
2018,3,2,1.5,-2.0,-0.3,0.5,2.0,-3.1041666666666665,82.08333333333333,3.7916666666666665,21.25,-3.8333333333333335,533,767,217
