Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Precip (mm),Snow on Grnd (cm),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Wind Chill,Berri1,Maisonneuve_2,Maisonneuve_3
2016,1,1,0.4,-4.0,-1.8,0.2,14.0,-3.6333333333333333,84.20833333333333,24.041666666666668,17.083333333333332,-5.708333333333333,32,51,16
2016,1,2,1.2,-4.3,-1.6,0.7,14.0,-5.229166666666667,74.58333333333333,25.125,21.625,-6.041666666666667,68,93,25
2016,1,3,0.8,-14.3,-6.8,4.1,14.0,-3.658333333333333,89.5,18.791666666666668,15.583333333333334,-6.5,78,118,38
2016,1,4,-13.4,-22.1,-17.8,0.2,17.0,-21.808333333333334,62.458333333333336,25.75,14.25,-24.041666666666668,118,165,80
2016,1,5,-6.0,-22.1,-14.1,0.0,18.0,-18.204166666666666,75.54166666666667,26.125,11.791666666666666,-21.041666666666668,183,239,86
2016,1,6,0.3,-11.1,-5.4,0.0,18.0,-9.504166666666666,71.70833333333333,21.041666666666668,10.333333333333334,-9.041666666666666,305,378,116
2016,1,7,0.1,-8.5,-4.2,0.0,18.0,-8.383333333333333,70.0,19.0,5.458333333333333,-6.0,425,486,142
2016,1,8,2.3,-7.0,-2.4,0.0,18.0,-5.991666666666667,79.41666666666667,4.541666666666667,12.708333333333334,-6.75,393,439,138
2016,1,9,3.9,1.7,2.8,2.9,17.0,0.01666666666666668,81.79166666666667,14.416666666666666,22.125,0.0,139,197,73
2016,1,10,7.8,-0.7,3.6,9.9,8.0,2.1333333333333333,84.83333333333333,11.75,18.708333333333332,0.0,136,151,46
2016,1,11,-0.7,-11.5,-6.1,0.0,3.0,-13.429166666666667,60.208333333333336,26.791666666666668,29.333333333333332,-14.75,393,508,168
2016,1,12,-2.4,-11.3,-6.9,1.4,4.0,-9.779166666666667,78.45833333333333,15.083333333333334,15.75,-12.166666666666666,398,451,152
2016,1,13,-3.8,-13.9,-8.9,0.2,4.0,-14.137500000000001,70.125,25.958333333333332,23.916666666666668,-17.708333333333332,324,384,126
2016,1,14,-9.5,-14.1,-11.8,0.6,4.0,-13.862499999999999,83.16666666666667,13.25,6.291666666666667,-14.666666666666666,347,437,134
2016,1,15,0.0,0.0,0.0,0.0,0.0,-7.679166666666667,45.291666666666664,1.75,8.916666666666666,-9.458333333333334,367,372,120
2016,1,16,-1.6,-8.8,-5.2,0.7,2.0,-7.570833333333333,82.75,11.041666666666666,16.541666666666668,-10.75,113,145,42
2016,1,17,-4.4,-11.8,-8.1,0.2,3.0,-11.483333333333334,70.25,17.125,11.916666666666666,-12.083333333333334,111,118,31
2016,1,18,-7.4,-14.5,-11.0,5.0,8.0,-11.933333333333332,85.83333333333333,21.791666666666668,21.708333333333332,-17.833333333333332,340,339,111
2016,1,19,-8.9,-16.3,-12.6,0.2,3.0,-17.183333333333334,72.83333333333333,26.375,29.666666666666668,-23.833333333333332,271,309,121
2016,1,20,-4.6,-12.5,-8.6,0.0,2.0,-12.829166666666666,71.54166666666667,26.291666666666668,16.708333333333332,-15.125,376,432,139
2016,1,21,-6.7,-14.5,-10.6,0.0,2.0,-14.354166666666666,71.54166666666667,26.916666666666668,12.833333333333334,-15.708333333333334,450,456,155
2016,1,22,-3.0,-10.4,-6.7,0.0,2.0,-12.229166666666666,66.08333333333333,27.791666666666668,12.958333333333334,-12.083333333333334,400,415,155
2016,1,23,-8.6,-14.5,-11.6,0.0,2.0,-14.945833333333333,69.79166666666667,4.416666666666667,13.166666666666666,-16.5,146,162,48
2016,1,24,-6.3,-16.3,-11.3,0.0,2.0,-14.083333333333334,75.04166666666667,28.25,8.375,-14.458333333333334,116,145,41
2016,1,25,-0.4,-6.5,-3.5,0.0,3.0,-6.5249999999999995,79.58333333333333,18.75,9.291666666666666,-6.916666666666667,441,528,168
2016,1,26,5.7,-2.1,1.8,4.0,2.0,-1.9208333333333334,80.41666666666667,18.291666666666668,23.208333333333332,-2.75,417,543,174
2016,1,27,2.1,-7.2,-2.6,0.2,2.0,-7.9875,70.79166666666667,26.583333333333332,18.958333333333332,-8.208333333333334,460,563,185
2016,1,28,0.9,-7.5,-3.3,0.2,3.0,-6.125,78.25,14.125,13.291666666666666,-7.0,419,582,181
2016,1,29,1.1,-7.4,-3.2,1.1,2.0,-2.408333333333333,87.20833333333333,18.333333333333332,10.291666666666666,-2.5833333333333335,421,523,158
2016,1,30,-0.9,-9.0,-5.0,0.0,3.0,-8.191666666666666,80.41666666666667,18.541666666666668,13.875,-10.458333333333334,136,212,56
2016,1,31,6.0,-6.2,-0.1,1.8,3.0,-2.9375,79.375,16.0,6.666666666666667,-2.2916666666666665,180,303,95
2016,2,1,9.0,0.1,4.6,0.0,1.0,-0.033333333333333326,73.45833333333333,24.291666666666668,20.666666666666668,0.0,559,737,225
2016,2,2,0.1,-6.1,-3.0,0.2,1.0,-9.1,63.333333333333336,21.333333333333332,9.583333333333334,-6.291666666666667,607,810,240
2016,2,3,8.6,-5.2,1.7,17.5,3.0,-0.7291666666666666,87.41666666666667,11.666666666666666,17.375,-3.3333333333333335,267,381,112
2016,2,4,8.3,-0.7,3.8,0.0,0.0,-0.9291666666666667,73.125,26.25,17.916666666666668,-0.08333333333333333,613,823,246
2016,2,5,-0.3,-5.7,-3.0,0.0,0.0,-9.345833333333333,63.708333333333336,20.0,12.041666666666666,-7.75,517,686,222
2016,2,6,1.6,-5.2,-1.8,2.4,0.0,-4.445833333333334,82.75,20.0,10.583333333333334,-4.083333333333333,157,205,53
2016,2,7,1.0,-8.7,-3.9,0.2,4.0,-11.491666666666667,60.625,10.458333333333334,20.041666666666668,-10.291666666666666,145,145,56
2016,2,8,-5.7,-9.0,-7.4,0.0,0.0,-16.054166666666667,49.583333333333336,4.541666666666667,25.0,-15.25,413,575,183
2016,2,9,-5.5,-8.1,-6.8,1.3,0.0,-10.070833333333333,78.20833333333333,4.625,16.833333333333332,-13.291666666666666,422,540,148
2016,2,10,-4.6,-8.9,-6.8,1.3,2.0,-7.870833333333334,87.95833333333333,11.291666666666666,10.25,-10.583333333333334,409,528,178
2016,2,11,-8.0,-17.8,-12.9,0.4,2.0,-17.0125,74.66666666666667,27.083333333333332,20.458333333333332,-22.166666666666668,396,450,132
2016,2,12,-6.4,0.0,0.0,0.0,0.0,-15.508333333333333,70.41666666666667,18.208333333333332,14.833333333333334,-18.541666666666668,298,386,114
2016,2,13,-11.1,-26.5,-18.8,0.6,4.0,-26.629166666666666,63.125,28.125,25.5,-33.416666666666664,63,82,39
2016,2,14,-19.6,-27.6,-23.6,0.0,2.0,-30.087500000000002,53.916666666666664,26.125,17.375,-33.708333333333336,103,284,18
2016,2,15,-5.0,-23.2,-14.1,0.0,1.0,-19.004166666666666,65.41666666666667,13.083333333333334,10.25,-18.125,286,369,117
2016,2,16,1.0,-7.7,-3.4,17.8,7.0,-4.779166666666667,92.45833333333333,7.125,11.375,-8.125,129,184,85
2016,2,17,-0.3,-10.7,-5.5,4.4,7.0,-5.470833333333334,83.29166666666667,24.791666666666668,10.083333333333334,-6.416666666666667,264,385,143
2016,2,18,-8.9,-15.7,-12.3,0.2,7.0,-15.6,71.20833333333333,26.25,12.208333333333334,-17.25,362,418,131
