"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-01-27","2010","01","27","","1.0","","-4.0","","-1.5","","19.5","","0.0","","","M","","M","0.4","","2","","26","","41",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-01-28","2010","01","28","","-3.1","","-13.8","","-8.5","","26.5","","0.0","","","M","","M","2.8","","5","","25","","67",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-01-29","2010","01","29","","-13.6","","-19.9","","-16.8","","34.8","","0.0","","","M","","M","0.4","","2","","27","","59",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-01-30","2010","01","30","","-14.6","","-21.2","","-17.9","","35.9","","0.0","","","M","","M","0.0","","2","","27","","37",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-01-31","2010","01","31","","-4.9","","-16.0","","-10.5","","28.5","","0.0","","","M","","M","0.0","","2","","28","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-01","2010","02","01","","-5.0","","-14.3","","-9.7","","27.7","","0.0","","","M","","M","0.0","","2","","25","","52",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-02","2010","02","02","","-9.1","","-14.5","","-11.8","","29.8","","0.0","","","M","","M","0.0","","2","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-03","2010","02","03","","-6.0","","-14.7","","-10.4","","28.4","","0.0","","","M","","M","0.0","","2","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-04","2010","02","04","","-7.1","","-13.7","","-10.4","","28.4","","0.0","","","M","","M","0.2","","2","","28","","41",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-05","2010","02","05","","-4.6","","-14.5","","-9.6","","27.6","","0.0","","","M","","M","0.0","","2","","29","","35",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-06","2010","02","06","","-7.8","","-15.5","","-11.7","","29.7","","0.0","","","M","","M","0.0","","2","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-07","2010","02","07","","-2.7","","-12.9","","-7.8","","25.8","","0.0","","","M","","M","0.0","","2","","30","","41",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-08","2010","02","08","","-5.7","","-9.9","","-7.8","","25.8","","0.0","","","M","","M","0.0","","2","","26","","41",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-09","2010","02","09","","-3.4","","-9.0","","-6.2","","24.2","","0.0","","","M","","M","0.0","","2","","26","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-10","2010","02","10","","0.4","","-7.6","","-3.6","","21.6","","0.0","","","M","","M","0.0","","2","","6","","39",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-11","2010","02","11","","-2.6","","-9.8","","-6.2","","24.2","","0.0","","","M","","M","0.0","","2","","24","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-12","2010","02","12","","-6.8","","-13.3","","-10.1","","28.1","","0.0","","","M","","M","0.0","","2","","26","","37",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-13","2010","02","13","","-4.7","","-9.3","","-7.0","","25.0","","0.0","","","M","","M","0.0","","2","","26","","41",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-14","2010","02","14","","-2.5","","-5.5","","-4.0","","22.0","","0.0","","","M","","M","0.0","","2","","26","","52",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-15","2010","02","15","","-0.8","","-6.3","","-3.6","","21.6","","0.0","","","M","","M","0.0","","2","","24","","39",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-16","2010","02","16","","-0.2","","-5.4","","-2.8","","20.8","","0.0","","","M","","M","0.0","","2","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-17","2010","02","17","","-0.1","","-3.5","","-1.8","","19.8","","0.0","","","M","","M","0.0","","2","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-18","2010","02","18","","1.3","","-3.3","","-1.0","","19.0","","0.0","","0.0","","","M","1.6","","2","","30","","50",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-19","2010","02","19","","-0.4","","-5.3","","-2.9","","20.9","","0.0","","","M","","M","1.7","","11","","27","","50",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-20","2010","02","20","","0.6","","-4.5","","-2.0","","20.0","","0.0","","0.0","","","M","1.5","","2","","26","","39",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-21","2010","02","21","","-0.4","","-6.5","","-3.5","","21.5","","0.0","","","M","","M","0.4","","7","","26","","35",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-22","2010","02","22","","0.9","","-7.6","","-3.4","","21.4","","0.0","","","M","","M","0.0","","5","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-23","2010","02","23","","2.4","","-1.6","","0.4","","17.6","","0.0","","","M","","M","3.2","","5","","12","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-24","2010","02","24","","1.1","","0.4","","0.8","","17.2","","0.0","","0.0","","","M","19.0","","3","","5","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-25","2010","02","25","","2.1","","0.4","","1.3","","16.7","","0.0","","","M","","M","6.5","","5","","3","","74",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-26","2010","02","26","","3.9","","0.6","","2.3","","15.7","","0.0","","","M","","M","0.9","","5","","4","","72",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-27","2010","02","27","","4.7","","0.8","","2.8","","15.2","","0.0","","","M","","M","3.4","","3","","4","","44",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-02-28","2010","02","28","","2.5","","0.4","","1.5","","16.5","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-03-01","2010","03","01","","6.3","","1.0","","3.7","","14.3","","0.0","","","M","","M","0.2","","4","","5","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-03-02","2010","03","02","","5.6","","-1.9","","1.9","","16.1","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-03-03","2010","03","03","","4.5","","-3.2","","0.7","","17.3","","0.0","","","M","","M","0.0","","4","","3","","41",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-03-04","2010","03","04","","5.1","","-3.6","","0.8","","17.2","","0.0","","","M","","M","0.0","","4","","4","","44",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-03-05","2010","03","05","","4.6","","-4.5","","0.1","","17.9","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-03-06","2010","03","06","","7.6","","-4.7","","1.5","","16.5","","0.0","","","M","","M","0.0","","3","","26","","37",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-03-07","2010","03","07","","8.4","","-1.1","","3.7","","14.3","","0.0","","","M","","M","0.0","","3","","26","","46",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-03-08","2010","03","08","","10.2","","0.6","","5.4","","12.6","","0.0","","","M","","M","0.2","","3","","29","","48",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-03-09","2010","03","09","","4.7","","-4.0","","0.4","","17.6","","0.0","","","M","","M","0.3","","3","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-03-10","2010","03","10","","6.8","","-5.6","","0.6","","17.4","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-03-11","2010","03","11","","8.5","","-2.1","","3.2","","14.8","","0.0","","","M","","M","0.0","","2","","5","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-03-12","2010","03","12","","8.3","","-1.1","","3.6","","14.4","","0.0","","","M","","M","0.0","","2","","5","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-03-13","2010","03","13","","11.8","","-0.5","","5.7","","12.3","","0.0","","","M","","M","0.0","","2","","4","","41",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-03-14","2010","03","14","","5.2","","1.9","","3.6","","14.4","","0.0","","","M","","M","15.8","","2","","4","","54",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-03-15","2010","03","15","","11.1","","2.7","","6.9","","11.1","","0.0","","","M","","M","0.0","","2","","4","","50",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-03-16","2010","03","16","","13.2","","-0.8","","6.2","","11.8","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-03-17","2010","03","17","","14.4","","-0.1","","7.2","","10.8","","0.0","","","M","","M","0.0","","1","","28","","35",""
